Name,Price,Category,Description,Image,In Stock,Console
B10K Pot,5,Parts,Whammy Bar Replacement Part,,5,
Plow King Guitar,150,Guitars,Pico Kramer Guitar,,0,ps2
I Choo Choo Choose You Guitar,150,Guitars,World Tour Guitar,,1,ps2
Custom Design Guitar,150,Guitars,Pico Kramer Guitar,,0,ps2
Lay's Guitar,150,Guitars,Pico World Tour Guitar,,0,xbox-360
Playstation Guitar,150,Guitars,Pico World Tour Guitar,,0,xbox-360
Stay Puft Guitar,160,Guitars,Xplorer,,0,xbox-360
Eve Guitar,160,Guitars,Xplorer,,0,xbox-360
Sunburst Brown Guitar,150,Guitars,Pico World Tour Guitar,,0,ps3
American Idiot Guitar,150,Guitars,Pico Les Paul,,0,xbox-360
Gerald Guitar,150,Guitars,Pico SG,,0,ps2
Johnny Bravo Guitar,150,Guitars,Pico SG,,0,ps2
Custom GH Live Guitar,110,Guitars,Pico GL Live Guitar,,1,ps4
Blue & Pink Guitar,150,Guitars,Pico WoR Guitar,,0,ps3
The Beatles Hofner,150,Guitars,Pico The Beatles Hofner,,0,xbox-360
Black Metallica,120,Guitars,Pico Fender Stratocaster,,0,xbox-360
My Beautiful Dark Twisted Fantasy Guitar,150,Guitars,Pico SG,,0,ps2
Mr. Sparkle Guitar,150,Guitars,Pico World Tour Guitar,,0,ps2
Woody Guitar,150,Guitars,Pico World Tour Guitar,,0,ps3
808s & Heartbreak Guitar,110,Guitars,Pico Fender Stratocaster,,1,Wii
Duff Beer Guitar,150,Guitars,Pico World Tour Guitar,,0,ps3
Fat Homer Guitar,150,Guitars,Pico World Tour Guitar,,0,ps3
Black & White Speckled Guitar,150,Guitars,Pico WoR Guitar,,0,xbox-360
Big Butt Skinner Guitar,150,Guitars,Pico World Tour Guitar,,0,ps3
You've Got Red on you Guitar,150,Guitars,Pico GH5 Guitar,,1,ps3
Arm The Homeless Guitar,150,Guitars,Pico World Tour Guitar,,1,ps2
Tilt Switch,3,Parts,Tilt senor replacement part,,10,
Keyboard Switch,3,Parts,Strum bar replacement part,,0,
No... I'm Sorry Shaun Guitar,150,Guitars,Pico GH5 Guitar,,1,ps3
Toggle Switch,3,Parts,Strum bar replacement part,,0,
