Name,Price,Category,Description,Image,In Stock,Console
B10K Pot,5,Parts,Whammy Bar Replacement Part,,5,
Plow King Guitar,150,Guitars,Pico Kramer Guitar,plowking.jpg,0,PS2
I Choo Choo Choose You Guitar,150,Guitars,World Tour Guitar,choochoochoose.jpg,0,PS2
Custom Design Guitar,150,Guitars,Pico Kramer Guitar,custom.jpg,0,PS2
Lay's Guitar,150,Guitars,Pico World Tour Guitar,lays.jpg,0,Xbox 360
Playstation Guitar,150,Guitars,Pico World Tour Guitar,playstation.jpg,0,Xbox 360
Stay Puft Guitar,160,Guitars,Xplorer,staypuft.jpg,0,Xbox 360
Eve Guitar,160,Guitars,Xplorer,eve.jpg,0,Xbox 360
Sunburst Brown Guitar,150,Guitars,Pico World Tour Guitar,brownsunburst.jpg,0,PS3
American Idiot Guitar,150,Guitars,Pico Les Paul,americanidiot.jpg,0,Xbox 360
Gerald Guitar,150,Guitars,Pico SG,gerald.jpg,0,PS2
Johnny Bravo Guitar,150,Guitars,Pico SG,johnnybravo.jpg,0,PS2
Custom GH Live Guitar,110,Guitars,Pico GL Live Guitar,pinkandblueghlive.jpg,0,PS4
Blue & Pink Guitar,150,Guitars,Pico WoR Guitar,pinkandbluewor.jpg,0,PS3
The Beatles Hofner,150,Guitars,Pico The Beatles Hofner,beatles.jpg,0,Xbox 360
Black Metallica,120,Guitars,Pico Fender Stratocaster,metallicablack.jpg,0,Xbox 360
My Beautiful Dark Twisted Fantasy Guitar,150,Guitars,Pico SG,darktwisted.jpg,0,PS2
Mr. Sparkle Guitar,150,Guitars,Pico World Tour Guitar,mrsparkle.jpg,0,PS2
Woody Guitar,150,Guitars,Pico World Tour Guitar,woody.jpg,0,PS3
808s & Heartbreak Guitar,110,Guitars,Pico Fender Stratocaster,808s.jpg,1,Wii
Duff Beer Guitar,150,Guitars,Pico World Tour Guitar,duffbeer.jpg,0,PS3
Fat Homer Guitar,150,Guitars,Pico World Tour Guitar,fathomer.jpg,0,PS3
Black & White Speckled Guitar,150,Guitars,Pico WoR Guitar,blackandwhitewor.jpg,0,Xbox 360
Big Butt Skinner Guitar,150,Guitars,Pico World Tour Guitar,bigbuttskinner.jpg,0,PS3
Shaun Guitar,150,Guitars,Pico GH5 Guitar,shaun.jpg,1,PS3
Arm The Homeless Guitar,150,Guitars,Pico World Tour Guitar,armthehomeless.jpg,0,PS2
Tilt Switch,3,Parts,Tilt senor replacement part,,10,
Keyboard Switch,3,Parts,Strum bar replacement part,,0,
Ed Guitar,150,Guitars,Pico GH5 Guitar,gotwood.jpg,0,PS3
Toggle Switch,3,Parts,Strum bar replacement part,,0,
Marlboro Guitar, 150, Guitars, Pico SG Guitar, marlboro.jpg, 1, PS2
